Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,2400,32,20,59,92,237,1,437,"10,625%","460,82949","7669,67","2597,48"
TOTAL,2400,32,20,59,92,237,1,437,"10,625%","460,82949","7669,67","2597,48"
