Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,7940,9,0,401,"16,20","63,438%",",66981","0,97","15,42","1489,0"
TOTAL,7940,9,0,401,"16,20","63,438%",",66981","0,97","15,42","1489,0"
